timestamp x y z vx vy vz x1 y1 z1 vx1 vy1 vz1 x2 y2 z2 vx2 vy2 vz2 x3 y3 z3 vx3 vy3 vz3 dLx dLy dLz taux tauy tauz margin x_sp y_sp z_sp vx_sp vy_sp vz_sp q_sp1x q_sp1y q_sp1z q_sp2x q_sp2y q_sp2z q_sp3x q_sp3y q_sp3z 
0 0.0174656 -0.0118293 -0.0434947 -0.00702426 0.04222 -0.00174657 1.06696 -0.792387 -0.191059 -0.000743866 -0.000464916 0.00158608 -0.196042 1.26363 -0.178883 -0.00411093 -0.00173092 -0.0049746 -0.836627 -0.938381 -0.182141 -0.00171661 -7.15256e-05 0.000411272 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.789983 0.457374 0.408333 -0.00110625 -0.912832 0.408334 0.791089 0.455457 0.408334 
49995 0.0175408 -0.0119503 -0.0435066 0.00903413 -0.0145205 -0.00142559 1.067 -0.792346 -0.191079 0.00436306 0.00490665 -0.00239789 -0.196116 1.26369 -0.178921 -0.00889778 0.00730991 -0.00461876 -0.836596 -0.938375 -0.182174 0.00361204 0.000700951 -0.00400901 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.789983 0.457374 0.408333 -0.00110625 -0.912832 0.408334 0.791089 0.455457 0.408334 
100006 0.0175408 -0.0119503 -0.0435066 0.00903413 -0.0145205 -0.00142559 1.067 -0.792346 -0.191079 0.00436306 0.00490665 -0.00239789 -0.196116 1.26369 -0.178921 -0.00889778 0.00730991 -0.00461876 -0.836596 -0.938375 -0.182174 0.00361204 0.000700951 -0.00400901 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.789983 0.457374 0.408333 -0.00110625 -0.912832 0.408334 0.791089 0.455457 0.408334 
149999 0.0175408 -0.0119503 -0.0435066 0.00903413 -0.0145205 -0.00142559 1.067 -0.792346 -0.191079 0.00436306 0.00490665 -0.00239789 -0.196116 1.26369 -0.178921 -0.00889778 0.00730991 -0.00461876 -0.836596 -0.938375 -0.182174 0.00361204 0.000700951 -0.00400901 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.789983 0.457374 0.408333 -0.00110625 -0.912832 0.408334 0.791089 0.455457 0.408334 
200006 0.0175363 -0.0118545 -0.0434986 0.0499805 0.0254972 -0.0301471 1.06696 -0.792363 -0.191036 0.000743866 0.00171661 0.00296831 -0.196049 1.26375 -0.178842 -0.00632823 0.0033617 0.00401616 -0.836588 -0.938408 -0.182099 -7.86781e-05 -0.00398397 0.00599563 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.789983 0.457374 0.408333 -0.00110625 -0.912832 0.408334 0.791089 0.455457 0.408334 
249984 0.0175493 -0.0121211 -0.0434944 0.01246 -0.00199098 -0.00457272 1.06698 -0.792152 -0.190958 0.00821114 0.0208139 0.000280738 -0.196061 1.26376 -0.178837 0.00333309 0.00131607 0.0063175 -0.83661 -0.938369 -0.18215 0.00095129 -0.00191689 0.000529289 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.789983 0.457374 0.408333 -0.00110625 -0.912832 0.408334 0.791089 0.455457 0.408334 
300003 0.0175456 -0.0121707 -0.043469 0.0142805 -0.0352424 -1.96695e-05 1.06686 -0.792151 -0.191045 -1.43051e-05 -0.0139403 0.0056684 -0.196063 1.26358 -0.178933 -0.00246227 -0.0157356 -0.0137991 -0.836602 -0.938284 -0.182204 -0.00177383 0.0164008 -0.016619 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.789983 0.457374 0.408333 -0.00110625 -0.912832 0.408334 0.791089 0.455457 0.408334 
350000 0.0174918 -0.0119508 -0.0434776 0.0329541 0.0322996 -0.0259678 1.06689 -0.792126 -0.190918 0.00144482 -0.0217438 0.0193906 -0.195985 1.26366 -0.178868 0.000330806 -0.00422001 0.0072813 -0.836552 -0.938401 -0.182089 -0.0140548 0.00762463 -0.013774 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.789983 0.457374 0.408333 -0.00110625 -0.912832 0.408334 0.791089 0.455457 0.408334 
400001 0.0175299 -0.0118655 -0.0435177 0.00783563 -0.00126611 -0.00254765 1.06704 -0.792277 -0.190919 0.0254202 -0.00306129 0.0156677 -0.195904 1.26358 -0.179163 0.0254846 -0.00729561 -0.0260854 -0.836381 -0.938271 -0.182009 0.0113368 0.0326014 0.0083077 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.789983 0.457374 0.408333 -0.00110625 -0.912832 0.408334 0.791089 0.455457 0.408334 
450007 0.0170987 -0.0120443 -0.0432443 -0.0131831 0.00400878 0.00228971 1.06688 -0.792155 -0.191135 -0.000686646 -0.00267506 -0.00739574 -0.196046 1.26368 -0.178898 0.00221193 -0.00856876 0.00887632 -0.836396 -0.938394 -0.182335 0.00509977 0.00366211 -0.0284493 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.789983 0.457374 0.408333 -0.00110625 -0.912832 0.408334 0.791089 0.455457 0.408334 
